category,merchandise_cents,freight_cents,orders,items,review_n,review_mean,delivery_n,delivery_mean_days,late_n,late_orders,sample_size,aov_proxy_brl,freight_ratio,late_rate,h1_2017_cents,h1_2017_orders,h1_2018_cents,h1_2018_orders,h1_growth,growth_eligible,high_gmv,high_growth,poor_cx_screen,high_late_screen,high_freight_screen,gmv_share,matrix_tags,analysis_window,cohort_definition,denominator
health_beauty,111016649,16194878,7845,8587,7801,4.213305986411998,7845,12.429183742298704,7845,592.0,7845,141.51261822817082,0.14587792142780315,0.07546207775653282,16025202,1074,53280927,3841,2.3248209289343125,True,True,True,False,False,False,0.08994700775988286,High GMV + High Growth,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
watches_gifts,109369885,9102972,5104,5444,5063,4.113964052933044,5102,13.174573850850066,5102,378.0,5104,214.28269004702193,0.08323106493163086,0.07408859270874167,13126449,438,52292335,2524,2.9837381000756564,True,True,True,False,False,False,0.08861278000556921,High GMV + High Growth,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
bed_bath_table,96206468,18752968,8712,10290,8621,3.9903723465955228,8712,13.328282045784018,8712,661.0,8712,110.42983011937557,0.19492419158345986,0.07587235996326905,13507723,1300,41706253,3778,2.0875857463171252,True,True,True,False,False,False,0.07794762318710342,High GMV + High Growth,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
sports_leisure,90198022,15411548,7081,7943,7038,4.21639670360898,7080,12.534193707169388,7080,475.0,7081,127.3803445840983,0.17086348079783834,0.067090395480226,13948073,1040,41229019,3131,1.9558935488794762,True,True,True,False,False,False,0.07307950886501793,High GMV + High Growth,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
computers_accessories,84800295,13597212,6138,7217,6108,4.06581532416503,6137,13.451525757925515,6137,396.0,6138,138.15623167155425,0.16034392333187047,0.0645266416816034,14262858,844,41515335,3211,1.91073044406668,True,True,True,False,False,False,0.06870620633131663,High GMV + High Growth,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
furniture_decor,66506862,15663890,5917,7665,5872,4.04683242506812,5917,13.29580881397918,5917,428.0,5917,112.39963157005239,0.23552291491365207,0.07233395301673146,11323457,1163,29508743,2463,1.605983579043043,True,True,True,False,False,True,0.053884649611424126,High GMV + High Growth; High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
cool_stuff,59336311,7862132,3436,3592,3408,4.221537558685446,3436,12.497045306638856,3436,199.0,3436,172.6900785797439,0.13250119307214767,0.05791618160651921,13138840,751,19079680,1162,0.45215863805328316,True,True,False,False,False,False,0.04807498401397274,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
housewares,55557826,12871164,5185,6167,5154,4.176173845556849,5185,11.50989672175792,5185,277.0,5185,107.15106268081003,0.23167148404978985,0.053423336547733846,8385517,925,27047680,2340,2.2255232444224964,True,True,True,False,False,True,0.04501361058325785,High GMV + High Growth; High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
auto,53280581,8265332,3457,3762,3440,4.131104651162791,3456,12.798269719462663,3456,258.0,3457,154.12375180792594,0.15512841348332895,0.07465277777777778,9243802,446,25478893,1750,1.7563218035176433,True,True,True,False,False,False,0.043168559633411985,High GMV + High Growth,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
garden_tools,45282070,9262170,3323,4127,3303,4.175900696336663,3323,13.848576228669987,3323,222.0,3323,136.26864279265723,0.20454387354641693,0.06680710201625037,9617892,525,17023162,1237,0.7699473023818524,True,True,False,False,False,False,0.03668807100882282,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
