term,coefficient,odds_ratio,ci_lower,ci_upper,z,p_value,sample_size,model_sample,analysis_window,cohort_definition,denominator
const,-2.461953885652972,0.08526818381738976,0.05814715958573249,0.12503900832501139,-12.604581703338773,1.9922676718703836e-36,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
is_late,2.769491434325595,15.950520059739377,14.991663255896261,16.970704706569805,87.55405139080966,0.0,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
log_order_value,0.36757154550043136,1.4442231224993571,1.3933694715205824,1.496932773534634,20.09746967639543,7.765328261457996e-90,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
log_freight_ratio,1.5430074694077018,4.678640000002853,3.918531481430263,5.586192774859875,17.058099184866503,3.0429670302883904e-65,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_Other (<500),-1.7513171063473747,0.17354521534920106,0.14527736121844537,0.20731338673830896,-19.30621744931245,4.761977048917753e-83,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_Unknown,-1.3541900274247893,0.258156309322911,0.20531541387770436,0.32459657453153157,-11.589331029423587,4.66763802181594e-31,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_auto,-1.7197016319512448,0.17911958349998341,0.14751796851825344,0.21749096408711438,-17.364707568627768,1.526757538767921e-67,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_baby,-1.6878913286448483,0.18490902554875985,0.1509095550465096,0.22656847486465864,-16.281883228632253,1.327208852890287e-59,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_bed_bath_table,-1.3976880002869738,0.24716775563232876,0.20802120909633148,0.2936811091989753,-15.887386376806885,7.749181239587406e-57,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_computers_accessories,-1.4745234447658235,0.22888777872757524,0.19156951189077692,0.2734757463949342,-16.237750882208772,2.727419852364442e-59,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_consoles_games,-1.8716920410277995,0.15386309875984153,0.11659508270173534,0.20304332405287961,-13.226492935479126,6.169982828789336e-40,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_construction_tools_construction,-1.6617870367748808,0.18979949817542857,0.1399468303972691,0.2574109710479551,-10.689143699798114,1.1442249423636788e-26,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_cool_stuff,-1.9231653070142043,0.1461436397504193,0.11987248523353261,0.17817235871844378,-19.021537042224107,1.1311824757011134e-80,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_electronics,-1.780378032207562,0.1685744086658858,0.13626408544512705,0.20854600949489815,-16.399270709352503,1.9354755426740156e-60,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_fashion_bags_accessories,-1.8569748960113732,0.15614426928174924,0.12323983781692957,0.19783402235362382,-15.379819513530892,2.235699948048704e-53,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
