dimension,value,sample_size,review_n,review_coverage,delivery_mean_days,delivery_median_days,late_orders,late_rate,estimated_gap_mean_days,review_mean,review_median,low_rating_n,low_rating_rate,low_ci_lower,low_ci_upper,one_star_rate,analysis_window,cohort_definition,denominator
is_late,0.0,83714,83237,0.9943020283345677,11.236515836768751,10.042563657407406,0,0.0,-13.757842176935757,4.283707966409169,5.0,7807,0.09379242404219278,0.09183056880397372,0.09579177120500915,0.06689332868796329,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
is_late,1.0,6138,5993,0.976376669925057,35.267673247182096,32.17894675925926,6138,1.0,11.013359400456174,2.2240947772401136,1.0,3817,0.6369097280160186,0.6246505199975061,0.6489935326706311,0.5504755548139496,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
delay_group,On time / early,83714,83237,0.9943020283345677,11.236515836768751,10.042563657407406,0,0.0,-13.757842176935757,4.283707966409169,5.0,7807,0.09379242404219278,0.09183056880397372,0.09579177120500915,0.06689332868796329,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
delay_group,1-3 days late,1658,1644,0.991556091676719,24.954958799647056,24.80730324074074,1658,1.0,1.8359469240048252,3.2378345498783454,4.0,553,0.33637469586374696,0.31394094384095256,0.35957133665171764,0.2615571776155718,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
delay_group,4-7 days late,1677,1626,0.9695885509838998,29.315821704046026,28.640543981481482,1677,1.0,5.538461538461538,2.0953259532595325,1.0,1101,0.6771217712177122,0.65400034378481,0.6994082634651105,0.5910209102091021,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
delay_group,8+ days late,2803,2723,0.9714591509097396,44.92865633382223,40.90619212962963,2803,1.0,19.71744559400642,1.6889460154241644,1.0,2163,0.794344473007712,0.7787538954953237,0.8091057304520044,0.7006977598237238,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-01,750,741,0.988,12.647043518518517,10.733645833333334,22,0.029333333333333333,-27.408,4.198380566801619,5.0,89,0.12010796221322537,0.09863892575945404,0.14549552280978015,0.09041835357624832,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-02,1653,1643,0.9939503932244405,13.168825248986131,10.971203703703704,49,0.029643073200241985,-19.195402298850574,4.203286670724284,5.0,182,0.11077297626293366,0.09649560629993774,0.12686618535917313,0.07668898356664638,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-03,2546,2527,0.9925373134328358,12.951184487831313,10.126487268518519,116,0.04556166535742341,-12.327179890023567,4.186782746339533,5.0,284,0.11238622872971904,0.10065544157622008,0.12529370147565536,0.0854768500197863,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-04,2303,2290,0.9943551888840643,14.917912500402053,12.748622685185186,151,0.06556665219279201,-12.97177594442032,4.135371179039302,5.0,296,0.12925764192139738,0.11613547229689974,0.1436215638877314,0.09039301310043668,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
month,2017-05,3545,3517,0.9921015514809591,11.322362975369588,9.793333333333333,106,0.029901269393511988,-13.497884344146685,4.236280921239693,5.0,354,0.10065396644867786,0.09114202318970008,0.1110373328381983,0.07449530850156383,"[2017-01-01,2018-08-01)",core purchase dates; valid fulfillment; canonical latest order review,sample_size valid delivered orders; review_n for score/low-rating
