dimension,value,sample_size,mql,closed_deals,observed_conversion,conversion_ci_low,conversion_ci_high,time_to_close_n,time_to_close_mean_days,time_to_close_median_days,low_sample,conversion_identifiable,mature_30d_n,closed_30d,observed_30d_conversion,mature_60d_n,closed_60d,observed_60d_conversion,mature_90d_n,closed_90d,observed_90d_conversion,analysis_window,cohort_definition,denominator
origin,direct_traffic,499,499.0,56,0.11222444889779559,0.08743978043099307,0.14293394231727677,56,31.76771639384921,10.576163194444444,False,True,499.0,41.0,0.08216432865731463,499.0,48.0,0.09619238476953908,426.0,44.0,0.10328638497652583,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,display,118,118.0,6,0.05084745762711865,0.023509631366969028,0.10650735114476316,6,10.921913580246914,9.169010416666667,False,True,118.0,6.0,0.05084745762711865,118.0,6.0,0.05084745762711865,108.0,5.0,0.046296296296296294,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,email,493,493.0,15,0.030425963488843813,0.018523723985031416,0.04958947031445481,15,52.77320370370371,21.125,False,True,493.0,9.0,0.018255578093306288,493.0,11.0,0.02231237322515213,417.0,11.0,0.026378896882494004,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,organic_search,2296,2296.0,271,0.11803135888501742,0.10546759655315235,0.13187113683092583,270,50.853066486625515,15.24703125,False,True,2295.0,174.0,0.07581699346405228,2295.0,204.0,0.08888888888888889,1985.0,184.0,0.09269521410579346,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,other,150,150.0,4,0.02666666666666667,0.010417940822967993,0.06655389051214453,4,15.766712962962963,9.557355324074074,False,True,150.0,3.0,0.02,150.0,4.0,0.02666666666666667,139.0,4.0,0.02877697841726619,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,other_publicities,65,65.0,3,0.046153846153846156,0.015819840413512566,0.12713847263338832,3,40.07546682098765,35.79170138888889,True,True,65.0,0.0,0.0,65.0,3.0,0.046153846153846156,56.0,3.0,0.05357142857142857,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,paid_search,1586,1586.0,195,0.12295081967213115,0.10769449118606486,0.14002924040716971,195,57.2743474002849,15.674594907407407,False,True,1586.0,125.0,0.07881462799495587,1586.0,140.0,0.08827238335435057,1357.0,127.0,0.09358879882092852,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,referral,284,284.0,24,0.08450704225352113,0.05744460092887881,0.12265961002492914,24,33.24298755787037,19.370769675925928,False,True,284.0,13.0,0.045774647887323945,284.0,20.0,0.07042253521126761,236.0,15.0,0.0635593220338983,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,social,1350,1350.0,75,0.05555555555555555,0.04455006636127891,0.0690832234293163,75,61.619110185185185,30.556377314814814,False,True,1350.0,36.0,0.02666666666666667,1350.0,48.0,0.035555555555555556,1126.0,52.0,0.046181172291296625,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,unknown,1099,1099.0,179,0.16287534121929026,0.14222514902367195,0.18587410398013104,179,41.942942724498245,11.827326388888888,False,True,1099.0,128.0,0.1164695177434031,1099.0,147.0,0.1337579617834395,967.0,135.0,0.13960703205791106,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
origin,Missing,60,60.0,14,0.23333333333333334,0.1443956173664283,0.35436270377601964,14,49.9097552910053,8.083952546296295,True,True,60.0,11.0,0.18333333333333332,60.0,12.0,0.2,48.0,9.0,0.1875,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
contact_month,2017-06,4,4.0,0,0.0,0.0,0.4898908364545973,0,,,True,True,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
contact_month,2017-07,239,239.0,2,0.008368200836820083,0.002297870260448632,0.029992574949255,2,398.7010706018518,398.7010706018518,False,True,239.0,0.0,0.0,239.0,0.0,0.0,239.0,0.0,0.0,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
contact_month,2017-08,386,386.0,9,0.023316062176165803,0.012314186904456001,0.04371232932797994,9,296.6509117798354,317.76974537037034,False,True,386.0,0.0,0.0,386.0,0.0,0.0,386.0,0.0,0.0,contact cohorts 2017-06..2018-05; calendar maturity reference 2018-08-01; snapshot observed close separately,all 8000 MQL; type/segment rows are closed-only,mql for origin/contact month; closed sellers for type/segment
