comparison,start_month,end_month,factor,start_value,end_value,gmv_change_brl,shapley_contribution_brl,contribution_share,sample_size,analysis_window,cohort_definition,denominator
first_to_last,2017-01,2018-07,unique_customers,718.0,6100.0,756155.1,801651.0236703597,1.0601674493372586,6909,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
first_to_last,2017-01,2018-07,purchase_frequency,1.0445682451253482,1.009672131147541,756155.1,-17121.26354220764,-0.022642528685196513,6909,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
first_to_last,2017-01,2018-07,aov,149.06448,140.92441305406723,756155.1,-28374.660128151972,-0.037524920652061956,6909,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
july_yoy,2017-07,2018-07,unique_customers,3802.0,6100.0,386348.94,309089.05008761137,0.8000256195542076,10031,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
july_yoy,2017-07,2018-07,purchase_frequency,1.0184113624408206,1.009672131147541,386348.94,-5767.301648851756,-0.014927701494021844,10031,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
july_yoy,2017-07,2018-07,aov,124.38133264462809,140.92441305406723,386348.94,83027.19156124054,0.21490208193981467,10031,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-02,2017-01,2017-02,unique_customers,718.0,1630.0,122425.04,136493.8187536665,1.1149174936243966,2403,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-02,2017-01,2017-02,purchase_frequency,1.0445682451253482,1.0141104294478527,122425.04,-5181.372797040094,-0.04232281890240832,2403,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-02,2017-01,2017-02,aov,149.06448,141.69594676346037,122425.04,-8887.405956626433,-0.07259467472198852,2403,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-03,2017-02,2017-03,unique_customers,1630.0,2508.0,124975.45,125956.46729007598,1.0078496799977594,4199,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
