month,delivered_orders,unique_customers,merchandise_cents,freight_cents,payment_cents,items,active_sellers,new_observed_sellers,new_observed_customers,sample_size,aov_brl,average_freight_brl,items_per_order,purchase_frequency,freight_ratio,gmv_mom,orders_mom,gmv_yoy,returning_observed_customers,analysis_window,cohort_definition,denominator
2017-01,750,718,11179836,1568401,12754567,913,219,149,717,750,149.06448,20.912013333333334,1.2173333333333334,1.0445682451253482,0.1402883727453605,,,,1,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-02,1653,1630,23422340,3701592,27129865,1858,402,214,1628,1653,141.69594676346037,22.39317604355717,1.1240169388989716,1.0141104294478527,0.1580368144258857,1.0950521993345879,1.2040000000000002,,2,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-03,2546,2508,35919885,5513210,41436939,2897,476,161,2503,2546,141.0836017282011,21.654399057344854,1.1378633150039277,1.0151515151515151,0.15348629317716356,0.5335737163750505,0.5402298850574712,,5,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-04,2303,2274,34066968,5014272,39095218,2569,488,111,2256,2303,147.9243074250977,21.772783326096395,1.115501519756839,1.0127528583992964,0.14718867848761885,-0.051584714149279676,-0.09544383346425767,,18,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-05,3546,3479,48933825,7751315,56706673,4004,563,114,3451,3546,137.99725042301185,21.859320360970106,1.1291596164692612,1.0192584075883875,0.1584040282973996,0.4364009441638599,0.5397307859313938,,28,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-06,3135,3076,42192337,6812700,49022560,3489,519,70,3037,3135,134.58480701754385,21.731100478468896,1.1129186602870813,1.0191807542262679,0.16146770917192854,-0.13776744409414143,-0.11590524534686975,,39,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-07,3872,3802,48160452,8469456,56640393,4416,593,113,3752,3872,124.38133264462809,21.873595041322314,1.140495867768595,1.0184113624408206,0.17585914683691092,0.14145021168180372,0.23508771929824568,,50,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-08,4193,4114,55469970,9113266,64600061,4797,683,120,4057,4193,132.29184354877177,21.734476508466493,1.144049606487002,1.0192027224112785,0.16429188622240107,0.15177428152044747,0.08290289256198347,,57,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-09,4150,4083,60739967,9367782,70116999,4737,711,124,4004,4150,146.36136626506024,22.572968674698796,1.1414457831325302,1.0164095028165565,0.15422764388396853,0.09500630701621082,-0.010255187216789863,,79,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
2017-10,4478,4417,64824765,10286936,75114027,5214,762,141,4328,4478,144.76276239392587,22.972166145600713,1.1643590888789639,1.0138102784695495,0.15868836547267082,0.06725057983650196,0.0790361445783132,,89,"[2017-01-01,2018-08-01)","purchase month, delivered",delivered_orders; distinct customers/sellers within month
