sample,days,dimension,value,metric,sample_size,mean,median,p25,p75,active_any_rate,active_last30_rate,low_sample,analysis_window,cohort_definition,denominator
each_horizon_mature,30,all,All,merchandise_cents,280,63482.08928571428,23827.5,11680.75,54267.5,1.0,1.0,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,all,All,orders,280,4.203571428571428,2.0,1.0,4.0,1.0,1.0,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,all,All,items,280,4.735714285714286,3.0,1.0,5.0,1.0,1.0,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,all,All,time_to_first_delivered_days,280,43.414533110119045,38.13474537037037,18.88049189814815,62.05752604166666,1.0,1.0,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,60,all,All,merchandise_cents,200,125216.79,40175.0,16535.0,112317.0,1.0,0.64,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,60,all,All,orders,200,7.9,4.0,2.0,8.0,1.0,0.64,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,60,all,All,items,200,8.81,4.0,2.0,9.0,1.0,0.64,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,60,all,All,time_to_first_delivered_days,200,37.21488888888889,28.80247685185185,15.863689236111112,53.693530092592596,1.0,0.64,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,90,all,All,merchandise_cents,124,237618.7741935484,69464.5,23776.25,170223.0,1.0,0.6693548387096774,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,90,all,All,orders,124,14.701612903225806,6.0,3.0,13.0,1.0,0.6693548387096774,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,90,all,All,items,124,16.475806451612904,7.0,3.0,14.25,1.0,0.6693548387096774,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,90,all,All,time_to_first_delivered_days,124,33.904595840800475,26.690792824074073,14.790882523148149,46.262256944444445,1.0,0.6693548387096774,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,direct_traffic,merchandise_cents,22,31513.409090909092,20153.5,6484.0,46410.5,1.0,1.0,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,direct_traffic,orders,22,2.909090909090909,2.5,1.0,3.75,1.0,1.0,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,direct_traffic,items,22,3.227272727272727,3.0,1.25,4.0,1.0,1.0,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,direct_traffic,time_to_first_delivered_days,22,39.467754103535356,34.432372685185186,17.250734953703702,64.29405381944444,1.0,1.0,False,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,display,merchandise_cents,1,27300.0,27300.0,27300.0,27300.0,1.0,1.0,True,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,display,orders,1,2.0,2.0,2.0,2.0,1.0,1.0,True,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,display,items,1,2.0,2.0,2.0,2.0,1.0,1.0,True,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,display,time_to_first_delivered_days,1,59.82408564814815,59.82408564814815,59.82408564814815,59.82408564814815,1.0,1.0,True,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,email,merchandise_cents,5,132703.8,14800.0,4740.0,89990.0,1.0,1.0,True,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
each_horizon_mature,30,origin,email,orders,5,2.6,1.0,1.0,4.0,1.0,1.0,True,"[2017-01-01,2018-08-01)","mature by horizon OR same common90 sample, explicitly separated",seller count; group n<10 not interpreted
