dimension,value,issue_category,issue_count,written_denominator,issue_rate,primary_written_denominator,primary_conditional_rate,meets_minimum,threshold
category,Multi-category,Delivery waiting / non-receipt,54,427,0.12646370023419204,293,0.18430034129692832,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Multi-category,Generic / Unclear,18,427,0.04215456674473068,293,0.06143344709897611,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Multi-category,Incomplete order / missing units,111,427,0.25995316159250587,293,0.378839590443686,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Multi-category,Mixed / rating-text mismatch,7,427,0.01639344262295082,293,0.023890784982935155,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Multi-category,Mixed resolution / service,74,427,0.17330210772833723,293,0.2525597269624573,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Multi-category,Positive delivery mentions,54,427,0.12646370023419204,293,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Multi-category,Positive generic mentions,33,427,0.07728337236533958,293,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Multi-category,Positive product / overall mentions,47,427,0.11007025761124122,293,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Multi-category,Product condition / mismatch,29,427,0.06791569086651054,293,0.09897610921501707,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Delivery waiting / non-receipt,0,5,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Generic / Unclear,1,5,0.2,3,0.3333333333333333,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Incomplete order / missing units,0,5,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Mixed / rating-text mismatch,0,5,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Mixed resolution / service,0,5,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Positive delivery mentions,1,5,0.2,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Positive generic mentions,1,5,0.2,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Positive product / overall mentions,0,5,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,PT:portateis_cozinha_e_preparadores_de_alimentos,Product condition / mismatch,2,5,0.4,3,0.6666666666666666,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Delivery waiting / non-receipt,44,547,0.08043875685557587,202,0.21782178217821782,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Generic / Unclear,21,547,0.038391224862888484,202,0.10396039603960396,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Incomplete order / missing units,21,547,0.038391224862888484,202,0.10396039603960396,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Mixed / rating-text mismatch,16,547,0.029250457038391225,202,0.07920792079207921,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Mixed resolution / service,47,547,0.08592321755027423,202,0.23267326732673269,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Positive delivery mentions,122,547,0.2230347349177331,202,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Positive generic mentions,102,547,0.18647166361974407,202,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Positive product / overall mentions,121,547,0.22120658135283364,202,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,Unknown,Product condition / mismatch,53,547,0.09689213893967093,202,0.2623762376237624,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Delivery waiting / non-receipt,2,51,0.0392156862745098,19,0.10526315789473684,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Generic / Unclear,3,51,0.058823529411764705,19,0.15789473684210525,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Incomplete order / missing units,1,51,0.0196078431372549,19,0.05263157894736842,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Mixed / rating-text mismatch,0,51,0.0,19,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Mixed resolution / service,3,51,0.058823529411764705,19,0.15789473684210525,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Positive delivery mentions,14,51,0.27450980392156865,19,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Positive generic mentions,7,51,0.13725490196078433,19,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Positive product / overall mentions,11,51,0.21568627450980393,19,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,agro_industry_and_commerce,Product condition / mismatch,10,51,0.19607843137254902,19,0.5263157894736842,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Delivery waiting / non-receipt,5,84,0.05952380952380952,30,0.16666666666666666,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Generic / Unclear,3,84,0.03571428571428571,30,0.1,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Incomplete order / missing units,2,84,0.023809523809523808,30,0.06666666666666667,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Mixed / rating-text mismatch,1,84,0.011904761904761904,30,0.03333333333333333,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Mixed resolution / service,14,84,0.16666666666666666,30,0.4666666666666667,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Positive delivery mentions,21,84,0.25,30,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Positive generic mentions,17,84,0.20238095238095238,30,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Positive product / overall mentions,16,84,0.19047619047619047,30,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,air_conditioning,Product condition / mismatch,5,84,0.05952380952380952,30,0.16666666666666666,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Delivery waiting / non-receipt,5,71,0.07042253521126761,27,0.18518518518518517,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Generic / Unclear,2,71,0.028169014084507043,27,0.07407407407407407,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Incomplete order / missing units,3,71,0.04225352112676056,27,0.1111111111111111,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Mixed / rating-text mismatch,1,71,0.014084507042253521,27,0.037037037037037035,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Mixed resolution / service,6,71,0.08450704225352113,27,0.2222222222222222,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Positive delivery mentions,12,71,0.16901408450704225,27,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Positive generic mentions,13,71,0.18309859154929578,27,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Positive product / overall mentions,19,71,0.2676056338028169,27,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,art,Product condition / mismatch,10,71,0.14084507042253522,27,0.37037037037037035,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,arts_and_craftmanship,Delivery waiting / non-receipt,0,7,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,arts_and_craftmanship,Generic / Unclear,0,7,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,arts_and_craftmanship,Incomplete order / missing units,1,7,0.14285714285714285,3,0.3333333333333333,False,"written>=100 and issue>=20; descriptive, no significance ranking"
